Editor ID;Form ID;Count;Users;Name;Script;Water Type;Model;Size;Quest Object
CampSearchlightAstorBark;001582F7;6;0;Astor Greets Player;CampSearchlightAstorBarkScript;;;3345;No
CampSearchlightAstorBarkDeActivate;001582F8;6;0;Astor Greets Player Deactivation;CampSearchlightAstorBarkDeActivatorScript;;;3699;No
VESGSGeckomanTrigger01;00158346;1;0;GSGeckomanSpringTrap;VES02GeckomanGSScript;;;755;No
Lucky38CasinoTrigger01;00158353;2;0;Gas Valve;Lucky38CasinoTrigger01SCRIPT;;;226;No
HanlonOfficeTrigger;0015852F;2;0;Chief Hanlon's office trigger.;HanlonOfficeTriggerSCRIPT;;;230;No
VHDIndyIntLegionSpawnWestTrigger;00158640;1;0;;VHDIndyIntLegionSpawnWestTriggerSCRIPT;;;242;No
HanlonBalconyTrigger;00158678;1;0;HanlonBalconyTrigger;HanlonBalconyTriggerSCRIPT;;;539;No
CampGolfRadioSpeaker;00158679;7;0;;VCampGoldLoudspeakerScript;;dungeons\vaultruined\accessories\vloudspeakersr01.nif;35;No
VES1GSVictorNorthTrigger01;00159780;1;0;VicWarnsYouFool;VESVictorGuardTrigger01Script;;;958;No
VFSSilverRushGuardPacerTalksToSimonTrigger;001598B7;1;0;Gas Valve;VFSSilverRushGuardPacerTalksToSimonScript;;;646;No
VFSSilverRushCustomerEnterTrigger;001598B8;1;0;Gas Valve;VFSSilverRushCustomerEnterScript;;;166;No
SafehouseBoSHidden;00159A9A;1;0;;SafehouseBoS02;;;139;No
SafehouseBoSEnterExit;00159A9B;1;0;Enter/Exit Safehouse;SafehouseBoS01;;;88;No
SafehouseNCRSandbox;0015A01F;1;0;;SafehouseNCR03;;;150;No
SafehouseBoSSandbox;0015A020;1;0;;SafehouseBoS03;;;128;No
SafehouseFollowersHidden;0015A021;1;0;;SafehouseFollowers02;;;140;No
SafehouseFollowersEnterExit;0015A022;1;0;;SafehouseFollowers01;;;120;No
SafehouseNCRHidden;0015A023;1;0;;SafehouseNCR02;;;120;No
SafehouseNCREnterExit;0015A024;1;0;;SafehouseNCR01;;;148;No
SafehouseLegionHidden;0015A025;1;0;;SafehouseLegion02;;;154;No
SafehouseLegionEnterExit;0015A026;1;0;;SafehouseLegion01;;;136;No
HVHuntingVirusTrigger;0015A156;1;0;Gas Valve;HVHuntingVirusScript;;;990;No
RegisTalkTrigger2;0015A380;1;0;Gas Valve;;;;235;No
SLRemnantsBunkerPanel;0015A38E;1;0;Door Control Panel;SLRemnantsBunkerPanelScript;;Dungeons\Vault\Accessories\VControlPanel04.NIF;68;No
VMS49OutpostTrigger;0015A813;1;0;;VMS49OutpostTriggerSCRIPT;;;176;No
GenericEvaluatePackageOnLinkedTrigger;0015A814;1;0;Gas Valve;GenericEvaluatePackageOnLinkedTriggerSCRIPT;;;171;No
VRemOrionMorenoTrigger;0015B3A4;1;0;Orion Moreno Dialogue Trigger;VRemOrionMorenoTriggerScript;;;255;No
VRemJudahKregerTrigger;0015B3AB;1;0;Judah Kreger Trigger;;;;202;No
VHiddenValleyVeronicaEnterTrigger;0015B6D6;1;0;;VHiddenValleyVeronicaEnterTriggerSCRIPT;;;727;No
VStripSS00RandomizerTrigger;0015B7A7;2;0;Choose a Show;VStripSS0RandomizerTrigger;;;299;No
WeatherStationTriggerInterior;0015BCA3;1;0;Weather Station Dialogue Trigger;WeatherStationTriggerInteriorScript;;;177;No
TechLegionGateActivator;0015BCA7;1;0;;TecMineLegionGateScript;;;49;No
VES09BlouderCityTrigger02;0015C445;2;0;Going South;VES09BoulderCityTrigger02Script;;;2405;No
VES09BlouderCityTrigger01;0015C446;3;0;Going North;VES09BoulderCityTrigger01Script;;;1676;No
vTopsSlot01;0015CB95;8;0;Slot Machine;SlotMachineTheTopsScript;;clutter\casino\Slot_Machine01TOPS.NIF;39;No
BananaYuccaPickableWestside;0015D433;1;0;Banana Yucca;BananaYuccaScript;;landscape\trees\NVBananaYucca.NIF;0;No
VES04Trigger01DUPLICATE000;0015D44B;1;0;;VES04FactionReactionPrimmGSTrigger01Script;;;1003;No
VES04Trigger02DUPLICATE000;0015D44C;1;0;;VES04FactionReactionPrimmGSTrigger02Script;;;1619;No
RaulAndyConversation;0015D84A;1;0;Raul Andy Conversation;RaulAndyConversationSCRIPT;;;1082;No
VES04Trigger004;0015D87F;1;0;;VES04FactionReactionPrimmGSTrigger04Script;;;761;No
VES04Trigger005;0015D880;1;0;;VES04FactionReactionPrimmGSTrigger05Script;;;249;No
VES04Trigger003DUPLICATE000;0015D881;1;0;;VES04FactionReactionPrimmGSTrigger03Script;;;1325;No
SunnySmilesTrigger;0015D9B9;1;0;Sunny Smiles Trigger;;;;241;No
VCG03CampfireTrigger;0015D9EF;1;0;;VCG03CampfireTriggerSCRIPT;;;215;No
VCG03GatherTrigger;0015D9F0;2;0;;VCG03GatherScript;;;254;No
NVGamSignGlo;0015E35F;6;0;;;;architecture\Strip\NV_Gam_SignGlo.NIF;789;No
RaulJacobstownTrigger;0015E52F;1;0;Gas Valve;RaulJacobstownTriggerSCRIPT;;;3945;No
RaulREPCONTrigger;0015E530;1;0;Gas Valve;RaulRepconTriggerSCRIPT;;;904;No
RaulForlornHopeTrigger;0015E531;2;0;Gas Valve;RaulForlornHopeTriggerSCRIPT;;;4758;No
RaulFestusTrigger;0015E532;1;0;Gas Valve;RaulFestusTriggerSCRIPT;;;252;No
RaulPvtHalfordTrigger;0015E533;2;0;Gas Valve;RaulPvtHalfordTriggerSCRIPT;;;398;No
HVBunkerGuardDisplayTrigger;0015E57F;1;0;Gas Valve;HVBunkerGuardDisplayTriggerScript;;;361;No
VERT3CentaurBMTrigger2;0015E8FC;1;0;Start the Show;VERT3CentaurBMTrigger02Script;;;1756;No
VERT3CentaurBMTrigger1;0015E8FD;5;0;Start the Show;VERT3CentaurBMTrigger01Script;;;2962;No
VERT4AntSVTrigger1;0015E8FE;1;0;Start the Show;VERT4AntSVTriggerScript;;;237;No
VERT3ScorpionGulchCodeHolder;0015E8FF;1;0;Direct the Show;VERT3BarkScorpionGulchScript;;;180;No
VERT3CentaurBMCodeHolder;0015E900;1;0;Direct the Show;VERT3CentaurBMScript;;;266;No
VERT4AntSVCodeHolder;0015E901;1;0;Direct the Show;VERT4AntSVScript;;;186;No
VERT3ScorpionGulchTrigger1;0015E902;1;0;Start the Show;VERT3ScorpionGulchTrigger01Script;;;801;No
VERT3ScorpionGulchTrigger2;0015E903;1;0;Start the Show;VERT3ScorpionGulchTrigger02Script;;;801;No
XanderRootPlant;0015EB41;283;0;Xander Root;XanderRootScript;;clutter\junk\NV\XanderRootPlant.NIF;37;No
WhiteHorseNettle;0015EB42;250;0;White Horse Nettle;WhiteHorseNettleScript;;clutter\junk\NV\WhiteHorseNettle.NIF;64;No
BrocFlowerPlant;0015EB43;313;0;Broc Flower;BrocFlowerScript;;clutter\junk\NV\BrocFlower.NIF;0;No
VES34VaultCodeHolder;0015EC2B;1;0;Direct the Show;VES34AerotechSurvivorsScript;;;180;No
VHDSecuritronZone7StopTRG;0015ECB2;1;0;;VHDSecuritronZone7StopSCRIPT;;;283;No
NellisSolarReflectorHeliosActivator;0015ECD9;5;0;Broken Solar Reflector;NellisSalvageArrayScript;;architecture\HELIOS_One\NV_HeliosOne_SolarBrkSingle01.NIF;176;No
VOVSewerRedLucyLightSwitch;0015ECEE;1;0;Light Switch;VOVSewerRedLucyLightSwitchScript;;clutter\genelecswitch01.nif;18;No
CampSearchlightCaveTrigger;0015EECB;1;0;;CampSearchlightCaveEnter;;;227;No
JalapenoPickable;0015F0ED;78;0;Jalapeno Plant;JalapenoScript;;landscape\plants\NVJalapeno_Fruited.NIF;26;No
PintoPickable;0015F0EE;142;0;Pinto Plant;PintoScript;;landscape\plants\NVPinto_Fruited.NIF;34;No
BuffaloGourdPickable;0015F0EF;88;0;Buffalo Gourd Plant;BuffaloScript;;landscape\plants\NVBuffaloGourd_Fruited.NIF;219;No
VERT2ViperSLTrigger2;0015F18B;1;0;Start the Show;VERT2ViperSLTrigger02Script;;;169;No
VERT2ViperSLTrigger1;0015F18C;1;0;Start the Show;VERT2ViperSLTrigger01Script;;;316;No
VERT2ViperSLCodeHolder;0015F190;1;0;Direct the Show;VERT2ViperSLScript;;;199;No
L38PlayerPod;0015F5B5;0;0;VR Training Pod;L38PlayerPodSCRIPT;;Furniture\TLpodPlayer01.nif;196;No
VHDVidScreenTrigger;0015F986;16;0;;VHDVidScreenSCRIPT;;;368;No
HVHardinWaitsForPlayerTrigger;0015FD55;1;0;;;;;130;No
EDERepconHQTrigger;0015FF6A;1;0;Gas Valve;EDERepconHQTriggerSCRIPT;;;358;No
HVBunkerExplosionTrigger;0016007B;1;0;Gas Valve;HVBunkerExplosionScript;;;1302;No
ElDoradoNCRAttackTrigger02;001600F0;1;0;;ElDoradoSubstationAttackPlayer02;;;195;No
ElDoradoNCRAttackTrigger01;001600F1;1;0;;ElDoradoSubstationAttackPlayer01;;;305;No
ElDoradoSubstationBarkActivator;001600F2;1;0;;ElDoradoNCRBarkActivatorSCRIPT;;;4002;No
VMS18CompanionSacrificeActivator;00160276;1;0;;VMS18CompanionSacrificeActivatorSCRIPT;;;113;No
NellisTLpod01;001602A5;3;0;Nellis Flight Simulator;NellisTLpod01SCRIPT;;Furniture\TLpod01.NIF;203;No
LilyNellisBark;0016078C;1;0;Gas Valve;LilyNellisBarkSCRIPT;;;6526;No
LilyDogsBark;00160790;1;0;Gas Valve;LilyDogBarkSCRIPT;;;1441;No
LilyNovacBark;00160794;1;0;Gas Valve;LilyNovacBarkSCRIPT;;;1433;No
LilyStripBark;00160797;1;0;Gas Valve;LilyStripBarkSCRIPT;;;974;No
LilyVaultBark;0016079A;6;0;Gas Valve;LilyVaultBarkSCRIPT;;;476;No
LilyBlackMountainBark;001607A2;1;0;Gas Valve;LilyBlackMountainBarkSCRIPT;;;891;No
VERT2ViperNiptonCodeHolder;0016122D;1;0;Direct the Show;VERT2ViperNiptonScript;;;162;No
VERT2ViperNiptonTrigger1;00161231;1;0;Start the Show;VERT2ViperNiptonTrigger01Script;;;2358;No
VendMachMag;00161245;9;0;Magazine Vending Machine;VStripMagazineVendingMachineScript;;clutter\VendingMachineMag\VendMachMag.NIF;61;No
MojaveOutpostPlaque;00161436;1;0;Unification Monument;MojaveOutpostPlaqueSCRIPT;;Architecture\Urban\MuseumRotunda\MuseumPlaque01.NIF;50;No
BCHostageTrigger;001614CC;1;0;Boulder City Hostage Trigger;BCHostageTriggerScript;;;262;No
BlackjackTableUltraLuxe;001614D2;6;0;Blackjack Table;BlackjackTableUltraLuxeScript;;clutter\casino\CardTable01.NIF;107;No
RouletteTableUltraLuxe;001614D8;5;0;Roulette Table;RouletteTableUltraLuxeScript;;clutter\casino\RouletteTable01.NIF;129;No
vWranglerSlot02;0016150A;4;0;Slot Machine;SlotMachineWranglerScript;;clutter\casino\Slot_Machine02.NIF;39;No
RouletteTableAtomicWrangler;0016150B;1;0;Roulette Table;RouletteTableAtomicWranglerScript;;clutter\casino\RouletteTable01.NIF;129;No
vWranglerSlot01;0016150C;10;0;Slot Machine;SlotMachineWranglerScript;;clutter\casino\Slot_Machine01.nif;39;No
BlackjackTableAtomicWrangler;0016150D;1;0;Blackjack Table;BlackjackTableAtomicWranglerScript;;clutter\casino\CardTable01.NIF;107;No
VCassCaravan;001618C6;3;0;Cass Caravan Found;VCassCaravnScript;;;890;No
VEFR02NCRBad2DeleteNPCs;00161911;1;0;;VEFR02NCRBad2DeleteNPCsSCRIPT;;;255;No
ScorpionBurrowTrigger1;00161920;1;0;Call the Queen;ScorpionBurrowQueenScript;;;598;No
TheBigOne;0016192B;1;0;The One;TheBigOneSCRIPT;;Architecture\Megaton\MegatonAtomicBomb.NIF;523;No
EndingTrigger;00161DDF;1;0;Ending Trigger;EndingTriggerScript;;;184;No
GomorrahRouletteTable;00161E43;3;0;Roulette Table;GomorrahRouletteTableSCRIPT;;clutter\casino\RouletteTable01.NIF;129;No
BlackjackTableGomorrah;00161E44;4;0;Blackjack Table;vGomorrahBlackjackSCRIPT;;clutter\casino\CardTable01.NIF;107;No
ScorpionBurrowCodeBox;00161E48;1;0;ScorpionQueenDead;ScorpionBurrowDeadScript;;;251;No
VHDPowerPlantBackGateTrig;00161F08;1;0;;VHDPowerPlantBackGateTrigSCRIPT;;;454;No
HVEvilBenefitFightTrigger;00161F70;6;0;Gas Valve;HVEvilBenefitFightScript;;;2005;No
vVikkiAndVanceSlot01;00162026;39;0;Slot Machine;vVikkiVanceSlotScript;;clutter\casino\Slot_Machine01.nif;43;No
vVikkiAndVanceSlot02;00162028;23;0;Slot Machine;vVikkiVanceSlotScript;;clutter\casino\Slot_Machine01.nif;39;No
BlackjackTableVikkiAndVance;0016206C;3;0;Blackjack Table;vVikkiAndVanceBlackjackSCRIPT;;clutter\casino\CardTable01.NIF;107;No
VikkiAndVanceRouletteTable;0016206F;2;0;Roulette Table;VikkiAndVanceRouletteTableSCRIPT;;clutter\casino\RouletteTable01.NIF;129;No
VFSTrapAlleyTrigger01;001628FB;4;0;Gas Valve;VFSTrapAlleyTrigger01Script;;;401;No
VFSTrapAlleyFleeTrigger;001628FC;2;0;Gas Valve;VFSTrapAlleyFleeScript;;;529;No
VFSReputationBenefitsNorthTrigger;001628FD;2;0;Gas Valve;VFSReputationBenefitNorthScript;;;1415;No
VFSTrapAlleyTrigger02;001628FE;2;0;Gas Valve;VFSTrapAlleyTrigger02Script;;;529;No
VFSBenefitNPCDespawnTrigger;001628FF;2;0;Gas Valve;VFSBenefitNPCDespawnScript;;;154;No
VFSThugSpawningTrigger;00162900;18;0;Gas Valve;VFSThugSpawningScript;;;737;No
VFSTrapAlleyTrigger03;00162901;2;0;Gas Valve;VFSTrapAlleyTrigger03Script;;;529;No
VFSReputationBenefitsEastTrigger;00162902;2;0;Gas Valve;VFSReputationBenefitEastScript;;;802;No
VFSTrapAlleyResetTrigger;00162903;2;0;Gas Valve;VFSTrapAlleyResetScript;;;444;No
WWRatCaveSoundTrigger;00162B3A;0;0;;WWRatCaveSoundScript;;;340;No
WWOwenBeruSoundTrigger;00162B3B;1;0;;WWOwenBeruSoundScript;;;185;No
WWHolyFragGrenadeSoundTrigger;00162B3C;0;0;;WWHolyFragGrenadeSoundScript;;;185;No
VMS35AutoDoc;00162C03;1;0;Mk III Auto-Doc;VMS35AutoDocScript;;clutter\Autodoc.NIF;104;Yes
VMS35AutoDocVault34;00162C07;1;0;Broken Mk III Auto-Doc;VMS35AutoDocVault34Script;;clutter\Autodoc.NIF;104;Yes
EdwardsSandboxEchoTrigger;0016307D;1;0;;ActivateEdwardsEchoSandbox;;;176;No
EdwardsCampTrigger;0016307E;1;0;;ActivateEdwardsCamp;;;278;No
HeliosLaserTop;001630BD;1;0;;HELIOSLaserTopSCRIPT;;effects\NV\Helios\HeliosLaserTop.NIF;16384;No
FortCaesarTentExitTrigger;001630CA;1;0;Caesar's Tent Exit Trigger;FortCaesarTentExitTriggerScript;;;467;No
WeatherStationExitTrigger;001630EC;1;0;Weather Station Exit Trigger;WeatherStationExitTriggerScript;;;241;No
VMS38LucyToRoomTrigger01Volume;001631DD;1;0;To your room;VMS38RedLucyToRoomTrigger01;;;290;No
VMS38RedLucyBedTrigger;001631E1;2;0;Off With Your Clothes;VMS38RedLucyBedTriggerScript;;;154;No
VMS38RedLucyRoomCodeHolder;001631E4;1;0;Direct the Show;VMS38RedLucyRoomScript;;;76;No
VMS38RedLucyThornCodeHolder;001631E7;1;0;Direct the Show;VMS38RedLucyCleanupScript;;;79;No
HVSandStormWeatherRemovingTrigger;001632BF;3;0;Gas Valve;HVSandstormWeatherRemovingScript;;;829;No
HVSandStormWeatherAddingTrigger;001632C3;4;0;Gas Valve;HVSandstormWeatherAddingScript;;;2448;No
HVRangerSneakUpTrigger;001632D3;1;0;Gas Valve;HVRangerSneakUpScript;;;510;No
VEFR0xLegionDeleteTrigger;00163401;1;0;;VEFR0xLegionDeleteNPCsSCRIPT;;;171;No
HVBMRadioConsole;001638EE;1;0;Radar Console;HVBmRadioConsoleScript;;Clutter\Consoles\Console02.NIF;122;No
VStationDialogueTrigger;00163971;1;0;;VStationDialogueTriggerSCRIPT;;;242;No
VMS31ObserveSneakTrigger;001639C6;1;0;;VMS31ObserveSneakTriggerSCRIPT;;;171;No
VVMS21aJoanaEscapeStripTrigger2;00163BDE;1;0;;VMS21aJoanaFleeTheStripTrigger2;;;297;No
TumbleweedRanch01;00163C1D;4;0;;VES05NightkinTWRanchTriggerSCRIPT;;;1146;No
VES01bVictorDeleteAtFreeside;00163C1E;1;0;;VES01bVictorDeleteAtFreesideSCRIPT;;;289;No
VStripMQEventHolder;00163E9C;1;0;Direct the Show;VStreetEventStarterScript;;;103;No
VCG03CampfireCrafting03;00164257;1;1;Campfire;VCG03CraftingCampfireRecipesScript;;clutter\camps\campfire03.nif;104;No
HVFastTravelDisableTrigger;001645DF;4;0;Gas Valve;HVFastTravelDisableScript;;;635;No
VMS01LaunchPlatformTrigger;00164734;1;0;Gas Valve;VMS01LaunchPlatformTriggerSCRIPT;;;496;No
VERT2ViperNiptonCodeHolder2;00164A2C;1;0;Direct the Show;VERT2ViperCampNiptonScript;;;162;No
vHDAssassinKeyTrigger;00164F7F;1;0;;VHDAssassinKeyTriggerSCRIPT;;;316;No
VERT2NiptonCaravanCodeHolder;00165076;1;0;Direct the Show;VERT2NiptonCaravanScript;;;162;No
VUltraLuxeFriskingTrigger;0016568C;1;0;Ultra-Luxe Frisking Trigger (honest version);VUltraLuxeFriskingTriggerSCRIPT;;;86;No
VULCashierTrigger;0016568D;1;0;Gas Valve;VULCashierTriggerSCRIPT;;;143;No
VUltraLuxeFriskingHoldoutTrigger;0016568E;1;0;Ultra-Luxe Frisking Trigger (with holdout weapons);VUltraLuxeFriskingHoldoutTriggerScript;;;57;No
VFSInternalTransitionTrigger;001657EF;3;0;Gas Valve;VFSInternalTransitionScript;;;366;No
MedicalClinicAutoDoc;001658BA;1;0;Mk I Auto-Doc;MedicalClinicAutoDocScript;;clutter\Autodoc.NIF;104;No
Lucky38ControlRoomTrigger;00165B03;1;0;L38CRTrigger;HouseInnerSecretSCRIPT;;;195;No
DrinkToiletClean03Purified;00165C3A;165;0;Toilet;;d1PurifiedWater0r30h;Clutter\Bathroom\ToiletClean01.NIF;60;No
DrinkSinkClean03Purified;00165C3B;157;0;Sink;;d1PurifiedWater0r30h;Clutter\Bathroom\SinkClean01.NIF;52;No
MichaelAngelosLights;00165CBF;1;0;;Lucky38LightScript;;architecture\Strip\NV_MAngelos_Sign-Lights.NIF;167;No
FXNellisArtilleryStrike01;0016657C;0;1;;FXNellisArtilleryStrikeScript;;Effects\FXArtilleryStrike01.NIF;0;No
VMS21ClandenRoomTrigger;00166580;1;0;Gas Valve;VMS21ClandenRoomTriggerScript;;Architecture\Wasteland\WaterTowerPipes01.NIF;468;No
VMS11WhiteLockerTrigger;00166668;1;0;;VMS11WhiteLockerTriggerSCRIPT;;;188;No
HVDatastoreElectricalSwitch;00166B50;1;0;Electrical Switch;HVDatastoreElectricalSwitchScript;;Clutter\ElectricalSwitch02.NIF;25;No
VERT4WalkingBoxCodeHolder;00166DE0;1;0;Direct the Show;VERT4WalkingBoxStalkerScript;;;121;No
VERT5SilverPeakCodeHolder;00166DE1;1;0;Direct the Show;VERT5SilverPeakCazadorScript;;;60;No
VERT5SilverPeakTrigger1;00166DE2;1;0;Start the Show;VERT5CazadorSilverPeakTrigger1Script;;;325;No
VFreeformMcCarranMoralesCorpseMessageTrigger;001673DC;1;0;;VFreeformMcCarranMoralesCorpseMessageTriggerSCRIPT;;;317;No
NVCCSetInteriorsActivator;001674A0;2;0;Set Interiors;vCCHQDoorSCRIPT;;;927;No
VMQ03bQuestTimerTrigger;00167689;1;0;;VMQ03bQuestTimerTriggerSCRIPT;;;918;No
VFSOrrisSecondRunTrigger;00167F2F;1;0;Gas Valve;VFSOrrisSecondRunScript;;;1359;No
DrinkUrinal03Purified;001682A0;44;0;Urinal;;d1PurifiedWater0r30h;Clutter\Office\Urinal01.NIF;43;No
VFSOrrisIgnoreTrigger;001682A5;1;0;Gas Valve;VFSOrrisIgnoreScript;;;1346;No
VFSOrrisFollowAdviceTrigger;001682A6;1;0;Gas Valve;VFSOrrisFollowAdviceScript;;;865;No
EdwardsScorpionAttack;0016894C;1;0;Gas Valve;EdwardsScorpionAttackScript;;;90;No
VERT1PrimmAmbush01CodeHolder;00168996;1;0;Direct the Show;VERT1PrimmJackalAmbushScript;;;172;No
VERT4BloodborneCodeHolder;00168997;1;0;Direct the Show;VERT4BloodborneStalkerScript;;;180;No
VERT2IvanpahAmbush01CodeHolder;00168998;1;0;Direct the Show;VERT2IvanpahJackalAmbushScript;;;145;No
VBooneSpotterBarkTrigger;00168A71;1;0;;VBooneSpotterBarkTriggerSCRIPT;;;174;No
VMcCarranMonorailGuardDisarmTrigger;00168A82;3;0;;VMcCarranMonorailGuardDisarmTriggerSCRIPT;;;278;No
VCG02GeckoSoundTrigger;00168A91;1;0;;VCG02GeckoSoundTriggerSCRIPT;;;656;No
ArcadeVault22Conversation;00168AE0;1;0;Arcade Vault 22 Conversation;ArcadeVault22ConversationScript;;;193;No
ArcadeBitterSpringsConversation;00168AE9;1;0;Gas Valve;ArcadeBitterSpringsConversationScript;;;594;No
VERT1IvanpahAntCodeHolder;00168BC8;1;0;Direct the Show;VERIvanpah01ControlScript;;;144;No
VERT3ElDoradoCodeHolder;00168BC9;1;0;Direct the Show;VERElDoradoControlScript;;;128;No
VERT1GSRoadCodeHolder;00168CFF;1;0;Direct the Show;VERT1GeckoAmbushScript;;;153;No
NVFreesideSignLargeLights;001690AF;8;0;;Lucky38LightScript;;architecture\Freeside\NV_FreesideSign-Large_Lights.NIF;1593;No
VMS18HeckReactToTedTrigger;00169556;1;0;;VMS18HeckReactToTedTriggerSCRIPT;;;107;No
FXGlowSimpFillRnd02DayNight;001695D3;8;0;;daynightenable;;effects\ambient\fxglowsimpfillrnd02.nif;450;No
VMS03DeckToExtTrigger;00169880;1;0;;VMS03DeckToExtTriggerSCRIPT;;;170;No
VMS03DeckToTowerTrigger;00169881;1;0;;VMS03DeckToTowerTriggerSCRIPT;;;173;No
VFSAWOffLimitsTrigger;0016988F;2;0;Atomic Wrangler Angry Trigger;VFSAWOffLimitsSCRIPT;;;452;No
NellisPearlSupportTrigger;0016990A;2;0;Pearl Dialogue Trigger;NellisPearlSupportTriggerSCRIPT;;;270;No
AverageWaterValve;001699B6;6;0;Water Valve;;d3AverageWater6r24h;Architecture\Wasteland\WaterTowerPipes01.NIF;199;No
VFSCenterIntersectionHideTrigger;001699FA;2;0;Gas Valve;VFSCenterIntersectionHideScript;;;2795;No
VERT4BonnieShowTrigger;00169B82;1;0;Start the Show;VERShadowsStartScript;;;177;No
VMS49VeronicaPulseGunReactTrigger;00169BFF;1;0;;VMS49VeronicaPulseGunReactTriggerSCRIPT;;;155;No
VMS49FarmTechReactTrigger;00169C01;1;0;;VMS49FarmTechReactTriggerSCRIPT;;;224;No
NVStripLightsPollition;00169D6D;2;0;;Lucky38LightScript;;architecture\Strip\NVStripLightPollution.NIF;16854;No
HVSchulerStandTrigger;0016A227;1;0;Gas Valve;HVSchulerStandScript;;;414;No
VULPenthouseIntTrigger;0016A897;1;0;;VULPenthouseIntTriggerSCRIPT;;;263;No
VStreetSS1StationTrigger02;0016A93F;1;0;;VStripSS1StationTrigger02;;;456;No
Lucky38LightsWL;0016A998;1;0;;;;_LasVegasMeshes\Lucky38\lucky38_NULL.nif;5515;No
VStripSouthCodeHolder;0016A99D;1;0;Set the Show;VStripSouthAreaScript;;;103;No
VStripNorthCodeHolder;0016A99E;1;0;Set the Show;VStripNorthAreaScript;;;253;No
GomorrahLightsWL;0016A9BC;1;0;;Lucky38LightScript;;architecture\Strip\GomorrahLightsWL.NIF;2891;No
SVEntranceTrigger;0016AC6E;1;0;Securitron Vault Entrance Trigger;SVEntranceTriggerScript;;;171;No
SVGalleryTrigger;0016AC71;1;0;Securitron Gallery Trigger;SVGalleryTriggerScript;;;382;No
TopsHotelLightsWL;0016ACA2;1;0;;Lucky38LightScript;;architecture\Strip\NV_TheTops-Hotel_NeonWL.NIF;3641;No
Lucky38LightsWLClose;0016ACA3;9;0;;;;_LasVegasMeshes\Lucky38\lucky38_NULL.nif;0;No
Lucky38PCBTeleportTrigger;0016ACD5;1;0;;Lucky38PCBTeleportTriggerSCRIPT;;;246;No
VCG02CheyenneBarkTrigger;0016AD05;1;0;;SunnySmilesTriggerSCRIPT;;;383;No
UltraLuxeWindowGlowsWL;0016ADDE;1;0;;Lucky38LightScript;;architecture\Strip\UltraLuxDome_GlowsWL.NIF;3221;No
UltraLuxeWindowGlowsWLCloser;0016ADDF;8;0;;Lucky38LightScript;;architecture\Strip\UltraLuxDome_GlowsWL_Closer.NIF;3123;No
UltraLuxeWindowGlowsWLCloser02;0016ADE0;8;0;;Lucky38LightScript;;architecture\Strip\UltraLuxDome_GlowsWL_Closer02.NIF;1980;No
TopsHotelLightsWLCloser;0016ADE1;7;0;;Lucky38LightScript;;architecture\Strip\NV_TheTops-Hotel_NeonWLCloser.NIF;3314;No
GomorrahLightsWLCloser;0016ADE2;7;0;;Lucky38LightScript;;architecture\Strip\GomorrahLightsWLCloser.NIF;2622;No
VFSVaporizationVolume;0016AEF2;1;0;Gas Valve;VFSVaporizationVolumeSCRIPT;;;660;No
EuclidTarget;0016AEF7;0;1;;EuclidTargetSCRIPT;;effects\fxnullexplosionart.nif;0;No
vNiptonShowVulpesTrigger01;0016B090;4;0;Start the Show;VNiptonSceneVulpesTrigger01Script;;;696;No
vNiptonCodeHolder;0016B091;1;0;Direct the Show;VNiptonSceneControlScript;;;180;No
vNiptonShowTrigger01;0016B092;4;0;Start the Show;VNiptonSceneTrigger01Script;;;633;No
VCCBarkActivator;0016B303;1;0;;VCCBarkActivatorSCRIPT;;;304;No
ArcadeWestsideTrigger;0016B41F;2;0;Arcade Westside Trigger;ArcadeWestSideTriggerScript;;;442;No
NVProspectorSaloonNeonLights;0016B5E1;1;0;;;;architecture\Goodsprings\NV_ProspectorSaloon-Neon_Lights.NIF;204;No
NVProspectorSaloonLights;0016B5E7;1;0;;Lucky38LightScript;;architecture\Goodsprings\NV_ProspectorSaloon_Lights.NIF;806;No
VintageRadioNVStartONCountry;0016B668;46;0;Radio;VintageRadioStartOnSCRIPT;;Clutter\VintageRadio\VintageRadio01.NIF;30;No
vCasinoTopsSpeaker;0016B669;12;0;;VintageRadioStartOnSCRIPT;;dungeons\vaultruined\accessories\vloudspeakersr01.nif;35;No
vCasinoUltraLuxeSpeaker;0016B66A;19;0;;VintageRadioStartOnSCRIPT;;dungeons\vaultruined\accessories\vloudspeakersr01.nif;35;No
vCasinoGomorrahSpeaker;0016B66B;20;0;;VintageRadioStartOnSCRIPT;;dungeons\vaultruined\accessories\vloudspeakersr01.nif;35;No
JukeBoxDirtyNVCountry;0016CC0B;4;0;Jukebox;VintageRadioStartOnSCRIPT;;clutter\jukebox\jukeboxDirtyNV.nif;83;No
SLGoldMine01VERT3ACTIVATOR;0016CD21;1;0;Vipers Return;SLGoldMine01VERT3ReturnSCRIPT;;;2273;No
HVLilyWaitTrigger;0016D543;3;0;Gas Valve;HVLilyWaitScript;;;228;No
HVLilyFollowAgainTrigger;0016D544;3;0;Gas Valve;HVLilyFollowAgainScript;;;213;No
FXGlowSimpleFillHalf01Imposter;001711B6;2;0;;Lucky38LightScript;;architecture\Strip\Imposter\FXGlowSimpleFillHalf01Imposter.NIF;10250;No
